date,code,open,high,low,close
1/22/2019,801760,587.1,587.11,577.06,578.71
1/21/2019,801760,586.02,590.95,585.03,587.24
1/18/2019,801760,584.03,586.61,578.33,585.69
1/17/2019,801760,587.05,590.49,583.38,584.32
1/16/2019,801760,585.91,590.39,585.41,587.76
1/15/2019,801760,577.83,586.08,576.18,585.8
1/14/2019,801760,585.66,585.73,577.5,579.22
1/11/2019,801760,581.93,585.95,580.89,585.95
1/10/2019,801760,583.09,588.6,580.97,582.39
1/9/2019,801760,581.24,592.43,579.64,582.87
1/8/2019,801760,579.14,582.97,577.51,581.56
1/7/2019,801760,573.46,582.08,572.8,581.21
1/4/2019,801760,549.26,571.75,548.91,571.46
1/3/2019,801760,557.74,562.95,554.18,555.1
1/2/2019,801760,563.8,563.8,557.28,558.25
12/28/2018,801760,561.06,566.3,557.92,561.18
12/27/2018,801760,579.51,580.51,560.49,560.49
12/26/2018,801760,569.5,577.75,568.91,572.89
12/25/2018,801760,572.22,572.72,555.41,570.57
12/24/2018,801760,578.2,580,574.41,579.29
12/21/2018,801760,577.43,585.2,576.71,580.3
12/20/2018,801760,572.54,579.97,572.54,578.49
12/19/2018,801760,582.76,582.77,571.84,573.17
12/18/2018,801760,582.2,586.64,575.52,581.5
12/17/2018,801760,583.83,588.19,580.66,586.06
12/14/2018,801760,600.73,600.77,585.63,586.26
12/13/2018,801760,599.75,605.01,594.78,601.57
12/12/2018,801760,604.82,604.82,596.47,598.03
12/11/2018,801760,594.42,604.42,594.32,602.09
12/10/2018,801760,588.32,595.49,587.12,591.86
12/7/2018,801760,593.51,596.47,590.44,592.71
12/6/2018,801760,601.8,602.24,591.69,592.59
12/5/2018,801760,596.89,608.29,594.86,605.28
12/4/2018,801760,604.07,609.61,602.46,609.59
12/3/2018,801760,600.89,610.43,598.56,605.97
11/30/2018,801760,583.85,587.82,572.36,586.4
11/29/2018,801760,611.79,613.05,587.3,587.3
11/28/2018,801760,593.19,608.43,585.29,608.02
11/27/2018,801760,591.95,596.77,587.42,592.71
11/26/2018,801760,586.1,592.77,582.61,586.56
11/23/2018,801760,613.22,613.22,584.23,586.79
11/22/2018,801760,615.94,619.59,613,616.11
11/21/2018,801760,602.38,613.76,602.14,613.76
11/20/2018,801760,620.55,621.92,606.9,607.55
11/19/2018,801760,629.29,630.36,619.23,626.65
11/16/2018,801760,623.9,633.86,621.41,630.9
11/15/2018,801760,611.95,624.46,610.89,624.46
11/14/2018,801760,610.63,621.08,608.92,610.89
11/13/2018,801760,582.55,617.29,581.4,611.81
11/12/2018,801760,567.44,589.1,567.44,589.1
11/9/2018,801760,567.4,572.68,565.81,568.84
11/8/2018,801760,582.51,583.05,572.75,572.94
11/7/2018,801760,581.78,589.04,580.03,580.33
11/6/2018,801760,584.58,584.7,575.77,584.37
11/5/2018,801760,586.77,593.39,579.95,588.4
11/2/2018,801760,580.04,589.68,579.66,589.68
11/1/2018,801760,564.74,579.9,564.7,570.41
10/31/2018,801760,555.98,565.41,554.6,561.83
10/30/2018,801760,547.12,561.49,543.07,555.54
10/29/2018,801760,559.22,559.29,550.43,552.59
10/26/2018,801760,564.14,567.51,557.98,559.73
10/25/2018,801760,545.96,563.09,544.25,561.09
10/24/2018,801760,561.5,569.93,560.08,562.51
10/23/2018,801760,573.44,574.88,560.46,563.66
10/22/2018,801760,553.66,580.28,553.63,574.09
10/19/2018,801760,529.17,549.36,528.02,549.36
10/18/2018,801760,544.95,545.15,535.1,535.32
10/17/2018,801760,544.68,549.75,537,548.9
10/16/2018,801760,546.95,551.17,535.27,537.78
10/15/2018,801760,556.28,559.72,545.89,546.95
10/12/2018,801760,553.3,558.28,538.56,554.17
10/11/2018,801760,581.05,582.63,554.22,557.04
10/10/2018,801760,601.55,603,594.65,600.31
10/9/2018,801760,604.54,606.83,597.46,600.59
10/8/2018,801760,613.38,615.52,602.42,602.93
9/28/2018,801760,621.58,627.15,620.61,627.15
9/27/2018,801760,629.24,630.2,620.08,620.1
9/26/2018,801760,626.68,633,626.29,629.3
9/25/2018,801760,623.46,626.88,622.2,624.36
9/21/2018,801760,618.72,628.37,616.49,627.29
9/20/2018,801760,617.73,620.11,616.48,617.3
9/19/2018,801760,612.46,622.21,610.52,618.17
9/18/2018,801760,599.53,613.57,599.53,613.57
9/17/2018,801760,609.49,609.55,602.3,602.59
9/14/2018,801760,616.29,616.99,610.49,613.12
9/13/2018,801760,621.88,624.76,611.9,617.94
9/12/2018,801760,616.26,624.55,615.87,619.75
9/11/2018,801760,616.38,621.5,612.46,617.14
9/10/2018,801760,633.08,634.05,617.97,618.26
9/7/2018,801760,637.29,644.39,630.76,634.66
9/6/2018,801760,640.34,645.42,635.01,637.34
9/5/2018,801760,646.19,651.06,642.14,642.2
9/4/2018,801760,636.46,647.59,636.46,646.26
9/3/2018,801760,634.01,636.75,627.06,635.98
8/31/2018,801760,641.18,641.58,634.85,636.28
8/30/2018,801760,650.86,653.43,644.85,644.85
8/29/2018,801760,656.55,656.62,649.46,651.97
8/28/2018,801760,658.14,661.13,657.65,659.88
8/27/2018,801760,645.33,659.02,645.22,658.02
8/24/2018,801760,645.94,648.25,642.03,644.02
8/23/2018,801760,644.95,650.18,642.71,647.73
8/22/2018,801760,649.28,650.25,643.75,644.43
8/21/2018,801760,642.27,652.38,641.04,650.87
8/20/2018,801760,637.72,642.94,630.45,642.36
8/17/2018,801760,658.06,659.97,637.89,638.89
8/16/2018,801760,655.63,662.98,649.76,654.72
8/15/2018,801760,676.16,677.89,663.51,664.1
8/14/2018,801760,680.88,682.14,675.33,676.89
8/13/2018,801760,674.66,684.37,671.03,682.93
8/10/2018,801760,681.17,684.69,678.52,684.06
8/9/2018,801760,666.19,685.1,665.34,681.59
8/8/2018,801760,674.61,677.25,667.22,668.42
8/7/2018,801760,661.63,676.67,658.15,676.66
8/6/2018,801760,668.88,673.97,656.69,659.94
8/3/2018,801760,678.85,680.97,670.53,670.53
8/2/2018,801760,698.69,698.77,669.75,679.65
8/1/2018,801760,712.52,717.51,701.35,701.35
7/31/2018,801760,711.49,714.35,708.2,712.29
7/30/2018,801760,723.96,724.88,709.58,712.87
7/27/2018,801760,736.22,736.46,727.16,727.34
7/26/2018,801760,739.18,740.04,734.29,736.73
7/25/2018,801760,735.1,741.1,735,740.52
7/24/2018,801760,726.26,734.67,723.66,732.62
7/23/2018,801760,719.19,726.37,716.87,726.37
7/20/2018,801760,717.69,723.43,707.62,721.58
7/19/2018,801760,720.52,723.03,712.34,714.31
7/18/2018,801760,721.4,723.83,714.68,714.68
7/17/2018,801760,718.44,721.46,713.53,721.46
7/16/2018,801760,721.39,722.87,715.39,718.27
7/13/2018,801760,718.92,723.12,717.92,722.5
7/12/2018,801760,702.26,720.64,702.19,719.22
7/11/2018,801760,711.42,711.57,694.4,702.21
7/10/2018,801760,721.69,722.96,717.3,722.96
7/9/2018,801760,715.12,722.48,715.12,722.47
7/6/2018,801760,711.74,723.07,700.08,714.5
7/5/2018,801760,721.96,726.5,711.24,711.28
7/4/2018,801760,732.64,734.09,720,722.9
7/3/2018,801760,725.97,736.68,713.89,735.18
7/2/2018,801760,732.8,735.23,718.32,723.84
6/29/2018,801760,707.54,731.96,707.54,731.93
6/28/2018,801760,713.74,721.37,706.81,707.23
6/27/2018,801760,722.78,724.53,713.5,715.52
6/26/2018,801760,706.37,724.97,704.41,723.38
6/25/2018,801760,723.43,723.91,713.34,713.79
6/22/2018,801760,702.46,720.69,700.42,718.44
6/21/2018,801760,725.95,727.56,706.61,706.62
6/20/2018,801760,717.03,731.48,713.01,726.76
6/19/2018,801760,754.35,754.44,713.16,721.25
6/15/2018,801760,781.28,783.53,764.25,766.91
6/14/2018,801760,783.62,790.15,780.71,781.97
6/13/2018,801760,796.06,796.1,785.29,785.53
6/12/2018,801760,791.92,799.97,786.15,798.25
6/11/2018,801760,791.93,795.35,788.92,791.07
6/8/2018,801760,804.3,804.36,789.45,794.18
6/7/2018,801760,813.79,814.66,805.83,806.08
6/6/2018,801760,809.87,814.58,808.7,811.42
6/5/2018,801760,799.92,811.41,799.92,811.36
6/4/2018,801760,806.2,806.64,797.6,801.46
6/1/2018,801760,813.39,816.43,805.58,808.97
5/31/2018,801760,809.19,817.52,805.24,817.48
5/30/2018,801760,818.74,819.25,803.29,804.2
5/29/2018,801760,834.92,840.67,830.16,830.29
5/28/2018,801760,840.58,842.78,833.73,836.66
5/25/2018,801760,848.15,849.77,840.6,840.77
5/24/2018,801760,852.78,854.52,849.71,850.2
5/23/2018,801760,862.18,862.22,853.04,853.04
5/22/2018,801760,862.47,863.63,858.3,863.61
5/21/2018,801760,857.44,865.55,854.41,863.98
5/18/2018,801760,847.27,853.77,844.26,853.77
5/17/2018,801760,853.1,855.63,847.4,848.56
5/16/2018,801760,857.02,859.98,853.13,854.03
5/15/2018,801760,850.55,860,847.21,860
5/14/2018,801760,853.51,857.39,847.8,849.99
5/11/2018,801760,861.52,862.04,852.77,853.6
5/10/2018,801760,858.44,861.36,853.42,861.21
5/9/2018,801760,859.25,860.49,854.16,857.41
5/8/2018,801760,855.59,861.55,852.3,860.91
5/7/2018,801760,845.95,856.46,844.34,855.58
5/4/2018,801760,846.79,850.27,843.2,844.39
5/3/2018,801760,838.3,848.91,829.86,848.59
5/2/2018,801760,845.88,848.91,836.04,840.87
4/27/2018,801760,840.78,846.93,834.96,845.42
4/26/2018,801760,856.23,857.75,837.56,837.8
4/25/2018,801760,857.04,861.24,854.84,857.53
4/24/2018,801760,834.03,858,833.59,857.25
4/23/2018,801760,838.98,842.7,825.14,833.91
4/20/2018,801760,859.55,861.98,840.26,842.03
4/19/2018,801760,861.59,867.64,860.26,862.44
4/18/2018,801760,858.65,863.68,837.6,861.76
4/17/2018,801760,876.24,877.64,852.3,852.55
4/16/2018,801760,872.65,881.09,866.69,872.88
4/13/2018,801760,881.92,883.65,875.18,877.03
4/12/2018,801760,883.43,886.59,877.63,877.98
4/11/2018,801760,878.51,889.02,878.43,884.92
4/10/2018,801760,874.37,877.85,864.11,877.61
